login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
deciduously,deciduously/bootstrap,2024-08-07T01:01:16Z,0,0,,TRUE,TRUE,MIT License
nareshbhatia,nareshbhatia/ai-experiments,2024-08-06T22:23:19Z,1,1,TypeScript,TRUE,TRUE,N/A
snyk-labs,snyk-labs/add-ignore-reason-to-csv-report,2024-08-06T20:29:06Z,1,1,Python,TRUE,TRUE,N/A
teddykoker,teddykoker/mp-api,2024-08-06T19:22:47Z,0,0,,TRUE,FALSE,Other
timcappalli,timcappalli/webappsec-credential-management,2024-08-06T18:53:48Z,0,0,HTML,TRUE,TRUE,Other
cameronraysmith,cameronraysmith/andaime,2024-08-06T13:43:17Z,0,0,,TRUE,TRUE,Apache License 2.0
mikesplain,mikesplain/changedetection.io,2024-08-06T13:39:02Z,0,0,,TRUE,TRUE,Apache License 2.0
Dynatrace,Dynatrace/anomaly-simulation-service,2024-08-06T10:00:32Z,0,0,Go,TRUE,TRUE,Apache License 2.0
berquist,berquist/anndata,2024-08-04T22:29:46Z,0,0,,TRUE,FALSE,"BSD 3-Clause ""New"" or ""Revised"" License"
freddiev4,freddiev4/litellm,2024-08-02T04:02:20Z,0,0,,TRUE,TRUE,Other
cameronraysmith,cameronraysmith/arrow,2024-08-01T21:37:53Z,0,0,,TRUE,FALSE,Apache License 2.0
jambonrose,jambonrose/lincolnloop-django-layout,2024-08-01T18:19:49Z,0,0,,TRUE,TRUE,N/A
thePunderWoman,thePunderWoman/angular-cli,2024-08-01T15:43:55Z,0,0,,TRUE,FALSE,MIT License
brohrer,brohrer/e2eml-library,2024-08-01T12:34:44Z,1,1,HTML,TRUE,TRUE,N/A
rmeschian,rmeschian/cpp-tic-tac-toe,2024-08-01T10:02:07Z,1,1,C++,TRUE,TRUE,N/A
groovemonkey,groovemonkey/explorations,2024-07-31T18:32:31Z,1,1,Elixir,TRUE,TRUE,N/A
bellesea,bellesea/hack-hour,2024-07-31T14:37:20Z,0,0,TypeScript,TRUE,TRUE,N/A
cameronraysmith,cameronraysmith/actix,2024-07-31T02:24:04Z,0,0,,TRUE,TRUE,Apache License 2.0
thePunderWoman,thePunderWoman/fluidd,2024-07-30T23:27:14Z,0,0,,TRUE,FALSE,GNU General Public License v3.0
vEnhance,vEnhance/compfiles,2024-07-30T19:16:59Z,0,0,,TRUE,TRUE,Apache License 2.0
neogeek,neogeek/a11ytk-rewrite,2024-07-30T19:16:45Z,0,0,C#,FALSE,FALSE,MIT License
cskonopka,cskonopka/cskonopka,2024-07-29T21:31:47Z,0,0,,TRUE,TRUE,N/A
SuperBruceJia,SuperBruceJia/Awesome-Evidence-based-Medicine,2024-07-29T18:57:03Z,1,1,,TRUE,TRUE,MIT License
BobGerman,BobGerman/copilot-camp,2024-07-29T17:14:57Z,1,1,TypeScript,TRUE,TRUE,MIT License
clintval,clintval/containers,2024-07-28T15:33:14Z,0,0,,TRUE,FALSE,Apache License 2.0
klaviyo,klaviyo/buildkite-agent-scaler-fork,2024-07-27T22:41:13Z,0,0,,TRUE,TRUE,MIT License
aaxwaz,aaxwaz/awesome-talking-head-generation,2024-07-27T06:12:30Z,0,0,,TRUE,TRUE,N/A
REMitchell,REMitchell/unlocking-python,2024-07-26T16:37:19Z,3,3,Jupyter Notebook,TRUE,TRUE,N/A
neuralmagic,neuralmagic/lm-evaluation-harness,2024-07-26T04:14:22Z,2,2,Python,TRUE,TRUE,MIT License
MTACS,MTACS/CrossOverIPC,2024-07-24T14:40:18Z,3,3,Objective-C++,TRUE,TRUE,MIT License
snyk-labs,snyk-labs/getting-started-with-snyk-snowflake-streamlit,2024-07-24T11:14:26Z,0,0,Python,TRUE,TRUE,N/A
maddymontaquila,maddymontaquila/swag,2024-07-23T22:02:19Z,0,0,,TRUE,TRUE,Creative Commons Zero v1.0 Universal
CharlesCreativeContent,CharlesCreativeContent/argo-agents,2024-07-23T11:09:00Z,1,1,,TRUE,TRUE,N/A
radical,radical/BlazorMinifiedJs,2024-07-23T01:19:55Z,0,0,,TRUE,TRUE,MIT License
ssalbdivad,ssalbdivad/viem,2024-07-22T03:24:10Z,1,1,TypeScript,TRUE,FALSE,Other
ssalbdivad,ssalbdivad/tsx,2024-07-21T22:58:54Z,1,1,TypeScript,TRUE,FALSE,MIT License
YingboMa,YingboMa/Adv360-Pro-ZMK,2024-07-21T18:33:39Z,0,0,Shell,TRUE,TRUE,MIT License
djcas9,djcas9/community-pocs,2024-07-21T15:36:44Z,0,0,,TRUE,FALSE,GNU General Public License v3.0
elibarzilay,elibarzilay/n,2024-07-20T03:51:51Z,0,0,Shell,TRUE,TRUE,MIT License
cameronraysmith,cameronraysmith/aria2-ws-rs,2024-07-20T03:45:59Z,0,0,,TRUE,TRUE,MIT License
cameronraysmith,cameronraysmith/aria2,2024-07-20T03:43:27Z,0,0,,TRUE,TRUE,GNU General Public License v2.0
Wilto,Wilto/eleventy-plugin-twig,2024-07-19T12:37:45Z,0,0,,TRUE,FALSE,N/A
maddymontaquila,maddymontaquila/ohmyposh-config,2024-07-19T01:56:58Z,0,0,,TRUE,TRUE,MIT License
processing,processing/p5.js-offline-reference,2024-07-18T20:49:08Z,1,1,JavaScript,TRUE,TRUE,N/A
maddymontaquila,maddymontaquila/PlantLadyGoesAspire,2024-07-18T20:34:24Z,6,6,C#,TRUE,TRUE,MIT License
johnny-rice,johnny-rice/5k-race-director,2024-07-18T01:04:03Z,1,1,,TRUE,TRUE,N/A
groovemonkey,groovemonkey/elixir-pdf-generator,2024-07-17T19:57:33Z,0,0,,TRUE,TRUE,MIT License
berquist,berquist/basis_set_exchange,2024-07-17T02:15:34Z,0,0,,TRUE,FALSE,"BSD 3-Clause ""New"" or ""Revised"" License"
Foundation-Devices,Foundation-Devices/bc-components-rust,2024-07-16T16:19:37Z,0,0,Rust,TRUE,TRUE,Other
mahmoodlab,mahmoodlab/MADELEINE,2024-07-16T14:22:55Z,30,30,Python,TRUE,FALSE,Other
rachelkang,rachelkang/MauiCharts,2024-07-15T16:14:03Z,9,9,C#,TRUE,FALSE,MIT License
dragonstyle,dragonstyle/inspect_ai,2024-07-15T14:12:51Z,0,0,Python,TRUE,FALSE,MIT License
Foundation-Devices,Foundation-Devices/bc-dcbor-rust,2024-07-15T11:48:02Z,0,0,Rust,TRUE,TRUE,Other
eagleoflqj,eagleoflqj/DocVitePressOMR,2024-07-15T03:36:24Z,0,0,,TRUE,TRUE,N/A
bit101,bit101/blchart,2024-07-14T01:39:54Z,1,1,Go,TRUE,TRUE,N/A
haehn,haehn/Awesome-Chart-Understanding,2024-07-13T15:40:15Z,0,0,,TRUE,TRUE,N/A
dbrant,dbrant/dependabot-core,2024-07-13T14:54:39Z,0,0,,TRUE,FALSE,MIT License
deciduously,deciduously/cctools-port,2024-07-12T16:35:36Z,0,0,,TRUE,TRUE,N/A
deciduously,deciduously/apple-libdispatch,2024-07-12T16:35:14Z,0,0,,TRUE,FALSE,Apache License 2.0
ericminikel,ericminikel/base_editing,2024-07-11T19:54:05Z,0,0,R,TRUE,TRUE,Creative Commons Attribution 4.0 International
r3k2,r3k2/brokaw,2024-07-11T19:34:45Z,0,0,,TRUE,TRUE,MIT License
yukyunglee,yukyunglee/RAPID,2024-07-11T14:07:33Z,0,0,,TRUE,FALSE,N/A
dylanebert,dylanebert/ml-for-3d-course-notebooks,2024-07-10T17:13:17Z,1,1,Jupyter Notebook,TRUE,FALSE,MIT License
dbhurley,dbhurley/AFFiNE,2024-07-10T17:02:33Z,0,0,,TRUE,FALSE,Other
odewahn,odewahn/audiobook-test,2024-07-10T15:02:48Z,0,0,,TRUE,TRUE,N/A
ehynds,ehynds/intl-tel-input,2024-07-10T14:29:06Z,0,0,,TRUE,TRUE,MIT License
rwest,rwest/Boron_Nitride,2024-07-09T20:06:14Z,0,0,,TRUE,TRUE,N/A
mwand,mwand/nim-sockets-webapp,2024-07-09T19:53:23Z,0,0,HTML,TRUE,TRUE,N/A
